username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Lighthouse0107;2018-04-29 18:30;1;9;"Ok, Halifax people definitely rock !!!!!! No real Standing ovation in Ottawa!!!! They didn’t even have to stop the music ..... GO HALIFAX !!! #virtuemoir https:// twitter.com/woodestiel/sta tus/990700506111594496 …";;;#virtuemoir;"990704960273821696";https://twitter.com/Lighthouse0107/status/990704960273821696
ClassicRock979;2018-04-26 15:44;0;0;"IN FLIGHT SAFETY PULLS OUT OF ROCK THE HUB OVER LACK OF DIVERSITY Thursday 26th April 2018 A Halifax indie rock band is pulling out of a Nova Scotia music festival, saying the lineup lacks diversity. In-Flight Safety frontman... http:// classicrock979.ca/story.php?view =21902 …";;;;"989575927909658624";https://twitter.com/ClassicRock979/status/989575927909658624
globalhalifax;2018-04-26 12:18;4;12;"A #Halifax indie rock band is pulling out of a Nova Scotia music festival, saying the lineup lacks diversity. https:// trib.al/THxKBPy";;;#Halifax;"989524114309287936";https://twitter.com/globalhalifax/status/989524114309287936
Live105HRM;2018-04-25 09:11;0;1;"105 Minutes of Commercial Free Uninterrupted Music NOW - 10:30AM then again from 3:45-5:30PM! * Head banging * #Halifax #HRM #HFX #NovaScotia #Canada #ROCKMusic #AltRock #Getit #LIVE105 pic.twitter.com/aCnTv6ytZv";;;#Halifax #HRM #HFX #NovaScotia #Canada #ROCKMusic #AltRock #Getit #LIVE105;"989114744358481920";https://twitter.com/Live105HRM/status/989114744358481920
Live105HRM;2018-04-24 08:59;0;1;"105 Minutes of Commercial Free Uninterrupted Music is NOW 'til 10:30AM! It happens all over again from 3:45-5:30PM! ROCK ON! #Halifax #HRM #HFX #LIVE105 #NovaScotia #Canada pic.twitter.com/biDhx0rOfT";;;#Halifax #HRM #HFX #LIVE105 #NovaScotia #Canada;"988749333527957504";https://twitter.com/Live105HRM/status/988749333527957504
TheBeaconHx;2018-04-24 05:34;0;1;"Retweeted Orange Box Halifax ( @OrangeBoxHX ): Orange Box Rock School is perfect for those who love music . Fancy joining other 11- 16 year old musicians to make music , form a band or collaborate? Join us Mondays... https://www. facebook.com/TheBeaconHalif ax/posts/2153501477996793 …";;@OrangeBoxHX;;"988697697011027968";https://twitter.com/TheBeaconHx/status/988697697011027968
thorneyhfx;2018-04-22 11:30;0;3;"This type of all-male guitar- rock lineup—working-class music —is itself a stereotype, born of the Bud-drinking hick (what “real men” listen to), which is a real type of person former and current, in Truro and Halifax and all over this country.";;;;"988062501244981248";https://twitter.com/thorneyhfx/status/988062501244981248
Live105HRM;2018-04-19 08:51;0;1;"Right now, 'til 10:30AM you're inside 105 Minutes of Commercial Free ROCK ! It happens again with Lindsay fr: 3:45-5:30PM! #GetROCKINwithit #LIVE105 #Halifax #HRM #HFX #NovaScotia #Canada #ROCKMusic #listen #LIVE - Scotty & Ferne pic.twitter.com/dzM1GINLK8";;;#GetROCKINwithit #LIVE105 #Halifax #HRM #HFX #NovaScotia #Canada #ROCKMusic #listen #LIVE;"986935276214812674";https://twitter.com/Live105HRM/status/986935276214812674
AtlCanCaper;2018-04-18 21:40;1;1;"Congrats to the ECMA Nominees in the Rock Category that we're proud to air here at "In the East Coast" returns back in Fall 2018 on @CaperRadio 107.3FM in Sydney. @EastCoastMusic Awards are taking place two weeks from today from May 2-6 in Halifax ! #EastCoast #Halifax #ROCKMUSIC";;@CaperRadio @EastCoastMusic;#EastCoast #Halifax #ROCKMUSIC;"986766424709455873";https://twitter.com/AtlCanCaper/status/986766424709455873
Melotikamusic;2018-04-18 20:14;2;7;"In #Moncton #newbrunswick on tour w/ @Krosstoutmusic ! Still sick today. Going to save my vox for this week end in #halifax & #Charlottetown ! #nowplaying #livemusic #hiphop #rockmusic #canadianmusic";;@Krosstoutmusic;#Moncton #newbrunswick #halifax #Charlottetown #nowplaying #livemusic #hiphop #rockmusic #canadianmusic;"986744898605940736";https://twitter.com/Melotikamusic/status/986744898605940736
myparktheatre;2018-04-17 13:48;3;7;"Tomorrow! @RedMoonRoad & @hillsburnband ! RMR will be debuting brand new material, joined by Hillsburn, a five-piece, indie- rock band from Halifax A solid night of great music ! Grab a friend with good taste in tunes and get down to The Park! https:// myparktheatre.com/event-calendar /8-pm-red-moon-road-hillsburn/ … pic.twitter.com/IH5rtAdWrn";;@RedMoonRoad @hillsburnband;;"986285256759181313";https://twitter.com/myparktheatre/status/986285256759181313
Live105HRM;2018-04-16 08:45;2;0;"HERE WE GO! 105 Minutes of Commercial-free ROCK Music starts! 8:45-10:30AM & again with Lindsay fr: 3:45-5:30PM! Get your ROCK ON! #Halifax #HRM #HFX #NovaScotia #LIVE105 #RockMusic #HalifaxsBestRock pic.twitter.com/ghXp0sxM6n";;;#Halifax #HRM #HFX #NovaScotia #LIVE105 #RockMusic #HalifaxsBestRock;"985846727071752193";https://twitter.com/Live105HRM/status/985846727071752193
PierreSEH;2018-04-13 19:48;0;0;"A band to discover from Halifax NS #dalivangogh #newcanadianmusic #ROCKMUSIC #SupportLocal #Halifax #novascotia #Canada https:// twitter.com/dalivangogh/st atus/979397705582759938 …";;;#dalivangogh #newcanadianmusic #ROCKMUSIC #SupportLocal #Halifax #novascotia #Canada;"984926429547606016";https://twitter.com/PierreSEH/status/984926429547606016
